ticker,max_duration_days,max_duration_start_date,max_duration_end_date,avg_turnover,notes,source
BRD,42,2022-03-17,2022-04-27,698189,,
AFAC,42,2022-08-11,2022-09-21,603603,,
BACA,42,2024-01-05,2024-02-15,591283,,
ROSE,42,2023-04-11,2023-05-22,518859,,
BROG,42,2023-02-23,2023-04-05,300099,,
PBBK,42,2024-10-24,2024-12-04,78251,,
SMX,41,2023-05-12,2023-06-21,5381798,,
IVCP,41,2023-12-07,2024-01-16,610593,,
IPVI,41,2022-08-10,2022-09-19,564666,,
SGII,41,2023-06-15,2023-07-25,496999,,
HUDA,41,2023-04-13,2023-05-23,423452,,
EAC,41,2023-05-11,2023-06-20,415892,,
LSBK,41,2024-11-27,2025-01-06,88519,,
GBNY,41,2024-05-09,2024-06-18,51644,,
KCGI,40,2024-04-15,2024-05-24,992028,,
SVNA,40,2022-03-04,2022-04-12,972760,,
CNTM,40,2023-05-08,2023-06-16,958454,,
CORS,40,2022-04-18,2022-05-27,899452,,
APCA,40,2023-04-17,2023-05-26,789386,,
BCSA,40,2023-05-15,2023-06-23,600148,,
HGAS,40,2023-02-16,2023-03-27,206418,,
WVFC,40,2022-03-21,2022-04-29,15683,,
RENE,39,2025-02-28,2025-04-07,881081,,
ARYE,39,2022-07-26,2022-09-02,878420,,
LCCC,39,2025-07-22,2025-08-29,779660,,
THCP,39,2023-08-07,2023-09-14,705847,,
RJAC,39,2023-02-21,2023-03-31,601692,,
GLAC,39,2025-02-24,2025-04-03,570141,,
KSI,39,2022-05-31,2022-07-08,485554,,
MCAE,39,2022-08-02,2022-09-09,260493,,
EUCR,39,2022-11-01,2022-12-09,137419,,
GECCO,39,2022-10-31,2022-12-08,57153,,
HCVI,38,2024-11-26,2025-01-02,1775245,,
GFGD,38,2022-05-03,2022-06-09,1177439,,
FTPA,38,2022-04-26,2022-06-02,812947,,
BTMD,38,2022-07-20,2022-08-26,728023,,
GPAC,38,2023-11-15,2023-12-22,484940,,
IOAC,38,2023-08-02,2023-09-08,469732,,
SVCC,38,2025-07-28,2025-09-03,446818,,
TETE,38,2023-05-17,2023-06-23,205290,,
CKX,38,2023-06-20,2023-07-27,82703,,
IROQ,38,2023-07-24,2023-08-30,50446,,
NUWE,37,2022-04-19,2022-05-25,2798094,,
RVAC,37,2022-02-22,2022-03-30,2131771,,
RACB,37,2022-07-21,2022-08-26,1836355,,
SOAR,37,2023-06-26,2023-08-01,1749243,,
AWIN,37,2022-06-06,2022-07-12,1621838,,
SUIG,37,2024-06-18,2024-07-24,1610993,,
JGGC,37,2022-04-14,2022-05-20,1335010,,
QSEA,37,2025-07-03,2025-08-08,1203416,,
MBSC,37,2022-01-04,2022-02-09,1109608,,
SISI,37,2022-09-22,2022-10-28,808173,,
LXEH,37,2022-01-27,2022-03-04,619927,,
PFTA,37,2024-09-16,2024-10-22,619757,,
EBAC,37,2022-05-12,2022-06-17,596797,,
AITR,37,2025-01-28,2025-03-05,401181,,
MAQC,37,2024-02-21,2024-03-28,364072,,
PLMJ,37,2024-11-05,2024-12-11,201805,,
BH.A,36,2023-10-13,2023-11-17,1632822,,
CDAQ,36,2024-09-13,2024-10-18,915256,,
VLAT,36,2022-10-24,2022-11-28,787003,,
