ticker,max_duration_days,max_duration_start_date,max_duration_end_date,avg_turnover,notes,source,cut_off_date,counts
QETA,133,2025-04-11,2025-08-21,374324,,,,
DXF,129,2024-09-17,2025-01-23,614065,,,,
GENQ,129,2022-07-06,2022-11-11,542306,,,,
YOTA,129,2024-09-17,2025-01-23,289151,,,,
HHGC,126,2021-12-10,2022-04-14,283593,,,,
BNIX,125,2024-09-06,2025-01-08,247045,,,,
CDT,123,2022-07-01,2022-10-31,2356908,,,,
GCTK,123,2022-08-22,2022-12-22,1899819,,,,
JWAC,122,2022-02-16,2022-06-17,1216751,,,,
CAMP,121,2024-06-12,2024-10-10,4099762,,,,
NOVV,121,2023-01-24,2023-05-24,194514,,,,
PLAO,120,2024-10-17,2025-02-13,1236758,,,,
MTRY,119,2023-07-07,2023-11-02,376614,,,,
ELLO,119,2018-01-26,2018-05-24,71841,,,,
XBP,118,2023-04-14,2023-08-09,1083175,,,,
AQU,115,2024-04-29,2024-08-21,179873,,,,
DEVS,114,2024-04-25,2024-08-16,2364076,,,,
SHUA,114,2022-06-22,2022-10-13,389762,,,,
ESAC,112,2023-06-02,2023-09-21,716987,,,,
DTSQ,112,2025-05-14,2025-09-02,625365,,,,
ACAQ,112,2023-01-25,2023-05-16,506430,,,,
FHLT,112,2023-02-14,2023-06-05,314490,,,,
ATMV,111,2025-04-24,2025-08-12,364252,,,,
MACA,111,2023-11-02,2024-02-20,206536,,,,
HFBL,111,2020-11-18,2021-03-08,55397,,,,
GYRO,109,2020-04-13,2020-07-30,56369,,,,
ESHA,108,2024-12-30,2025-04-16,551436,,,,
CCTS,108,2023-05-10,2023-08-25,473602,,,,
SWAG,108,2022-08-30,2022-12-15,262838,,,,
ARYD,107,2023-05-01,2023-08-15,741606,,,,
TGAA,107,2024-08-15,2024-11-29,665156,,,,
HWEL,107,2022-03-15,2022-06-29,596126,,,,
BWAQ,107,2022-05-12,2022-08-26,536428,,,,
IOR,107,2024-03-25,2024-07-09,30495,,,,
AFJK,105,2025-05-21,2025-09-02,480299,,,,
PFXNZ,105,2022-07-15,2022-10-27,62858,,,,
IHT,103,2015-05-22,2015-09-01,967184,,,,
VBFC,103,2016-12-30,2017-04-11,81072,,,,
DPCS,102,2024-06-24,2024-10-03,893462,,,,
VMCA,101,2023-10-25,2024-02-02,610377,,,,
FEXD,101,2024-05-07,2024-08-15,414512,,,,
TCOA,100,2022-04-18,2022-07-26,667068,,,,
WBUY,99,2025-01-29,2025-05-07,4696883,,,,
CRZN,99,2022-09-29,2023-01-05,521609,,,,
TLGY,99,2024-07-16,2024-10-22,520548,,,,
JMAC,99,2022-07-14,2022-10-20,513425,,,,
IGTA,99,2022-03-09,2022-06-15,485900,,,,
ATAQ,99,2023-05-30,2023-09-05,475886,,,,
ENCP,98,2023-08-22,2023-11-27,374411,,,,
CNFRL,98,2022-10-13,2023-01-18,50782,,,,
HWH,97,2022-04-07,2022-07-12,4121063,,,,
LGST,97,2023-07-26,2023-10-30,766290,,,,
OCAX,97,2023-03-29,2023-07-03,491438,,,,
RCAC,96,2022-04-18,2022-07-22,408258,,,,
SFBC,95,2022-11-11,2023-02-13,114475,,,,
INTG,95,2023-01-31,2023-05-05,91277,,,,
OPTX,94,2023-06-21,2023-09-22,1441980,,,,
ACAH,94,2023-06-13,2023-09-14,766477,,,,
PEPL,94,2023-10-09,2024-01-10,349532,,,,
PRTC,94,2023-05-31,2023-09-01,98994,,,,
ICCH,94,2021-09-14,2021-12-16,72779,,,,
HCMA,93,2023-05-30,2023-08-30,956638,,,,
ATMC,93,2025-03-17,2025-06-17,319459,,,,
PEGR,92,2022-06-14,2022-09-13,1039617,,,,
ALCY,92,2025-05-22,2025-08-21,418294,,,,
LIVB,92,2023-05-19,2023-08-18,403749,,,,
ALCE,91,2023-08-15,2023-11-13,727061,,,,
OAKU,91,2025-04-23,2025-07-22,445825,,,,
SPK,91,2022-02-22,2022-05-23,215167,,,,
PPHP,91,2024-01-18,2024-04-17,142949,,,,
ABP,89,2024-04-18,2024-07-15,1073182,,,,
PCCT,89,2023-07-03,2023-09-29,789804,,,,
CNGL,89,2024-02-15,2024-05-13,565959,,,,
REVE,89,2022-08-22,2022-11-18,470535,,,,
NETC,88,2023-08-25,2023-11-20,972936,,,,
ITAQ,88,2022-05-10,2022-08-05,382112,,,,
GLLI,88,2022-04-12,2022-07-08,357124,,,,
MCAG,88,2024-01-23,2024-04-19,195171,,,,
SEDA,87,2022-04-12,2022-07-07,619895,,,,
SGHL,87,2022-06-07,2022-09-01,409779,,,,
FORTY,87,2019-01-15,2019-04-11,146167,,,,
WLYB,87,2022-04-06,2022-07-01,33623,,,,
SBDS,86,2025-04-23,2025-07-17,2857615,,,,
ZVSA,86,2022-03-23,2022-06-16,1707847,,,,
WRAC,86,2022-06-02,2022-08-26,760462,,,,
ESLA,86,2022-06-08,2022-09-01,674980,,,,
SCAQ,86,2021-07-27,2021-10-20,665212,,,,
HWKZ,86,2022-01-04,2022-03-30,653711,,,,
AEAE,86,2024-08-08,2024-11-01,529129,,,,
DIST,86,2024-11-11,2025-02-04,347199,,,,
ASCA,86,2023-04-24,2023-07-18,259141,,,,
ADAL,85,2022-04-29,2022-07-22,1289815,,,,
DYCQ,85,2025-04-16,2025-07-09,594031,,,,
IXAQ,85,2024-01-03,2024-03-27,512899,,,,
OFSSH,85,2023-04-13,2023-07-06,51407,,,,
NKGN,84,2022-03-30,2022-06-21,1415344,,,,
PMGM,84,2023-09-21,2023-12-13,544329,,,,
BSLK,83,2024-02-23,2024-05-15,7719713,,,,
DSAQ,83,2023-07-20,2023-10-10,895715,,,,
MEOA,83,2023-02-16,2023-05-09,616440,,,,
NEN,83,2016-10-06,2016-12-27,102805,,,,
KLTO,82,2022-06-03,2022-08-23,7573715,,,,
DMYY,82,2022-12-08,2023-02-27,463639,,,,
SUNE,81,2023-11-14,2024-02-02,7563668,,,,
VRM,80,2024-12-02,2025-02-19,32265275,,,,
CMCA,80,2024-03-12,2024-05-30,950632,,,,
GOBI,80,2022-04-04,2022-06-22,166380,,,,
CNFRZ,80,2024-01-02,2024-03-21,47472,,,,
PWUP,79,2024-10-28,2025-01-14,668578,,,,
ARBG,79,2023-05-04,2023-07-21,482390,,,,
FSHP,79,2025-04-01,2025-06-18,367896,,,,
ADOC,79,2023-11-02,2024-01-19,257543,,,,
MBTC,79,2023-09-14,2023-12-01,210357,,,,
WVFC,79,2021-11-15,2022-02-01,35246,,,,
XHG,78,2023-02-22,2023-05-10,1922115,,,,
CONX,78,2023-12-22,2024-03-08,1816980,,,,
ALOR,78,2023-08-28,2023-11-13,692983,,,,
FTII,78,2022-06-16,2022-09-01,436248,,,,
BKHA,78,2024-08-20,2024-11-05,344962,,,,
WTMA,78,2024-09-04,2024-11-20,277275,,,,
PUCK,77,2024-03-06,2024-05-21,644100,,,,
QVCGB,77,2018-12-11,2019-02-25,502847,,,,
ONYX,77,2024-04-03,2024-06-18,492222,,,,
DUET,77,2024-09-05,2024-11-20,391771,,,,
OCCIN,77,2022-10-13,2022-12-28,72098,,,,
CHAA,76,2023-07-06,2023-09-19,663034,,,,
TMTC,76,2023-06-22,2023-09-05,486738,,,,
CALC,76,2023-03-30,2023-06-13,129292,,,,
QTI,75,2023-10-02,2023-12-15,569315,,,,
FORL,75,2024-09-06,2024-11-19,214102,,,,
DBD,74,2023-05-30,2023-08-11,13072812,,,,
BPAC,74,2022-03-28,2022-06-09,1635108,,,,
LAAA,74,2021-11-30,2022-02-11,260206,,,,
TPBA,73,2022-06-15,2022-08-26,779078,,,,
MOBV,73,2023-03-22,2023-06-02,512235,,,,
FNVT,72,2024-05-08,2024-07-18,588610,,,,
OHAA,72,2023-03-15,2023-05-25,373540,,,,
NOEM,72,2025-06-24,2025-09-03,355113,,,,
DILA,72,2022-02-10,2022-04-22,249683,,,,
GBRG,72,2021-10-11,2021-12-21,205592,,,,
AIM,71,2025-04-07,2025-06-16,2905638,,,,
JWSM,71,2024-08-19,2024-10-28,2193276,,,,
TRUG,71,2023-02-23,2023-05-04,957341,,,,
MITA,71,2024-09-23,2024-12-02,760882,,,,
FEDU,71,2023-11-24,2024-02-02,330961,,,,
INTE,71,2024-05-15,2024-07-24,245982,,,,
PAPL,70,2025-05-13,2025-07-21,3010511,,,,
LVAC,70,2022-08-04,2022-10-12,574702,,,,
PGSS,70,2022-09-07,2022-11-15,489037,,,,
FRLA,70,2022-06-23,2022-08-31,369364,,,,
QDRO,70,2023-08-30,2023-11-07,157468,,,,
TOAC,69,2022-07-07,2022-09-13,820152,,,,
RACY,69,2022-08-25,2022-11-01,800832,,,,
CFFS,69,2024-07-31,2024-10-07,677666,,,,
BYTS,69,2023-09-22,2023-11-29,576023,,,,
KYCH,69,2022-10-21,2022-12-28,430273,,,,
FRMEP,69,2022-08-26,2022-11-02,39385,,,,
CYCU,68,2023-10-16,2023-12-22,1410728,,,,
IPAX,68,2021-12-27,2022-03-04,908550,,,,
CITE,68,2024-07-01,2024-09-06,799616,,,,
VCXB,68,2023-03-13,2023-05-19,691124,,,,
HMAC,68,2022-09-15,2022-11-21,493677,,,,
GRCY,68,2023-01-09,2023-03-17,163598,,,,
EVGR,67,2024-10-15,2024-12-20,509704,,,,
UNAM,67,2018-06-25,2018-08-30,57885,,,,
WWAC,66,2023-07-05,2023-09-08,1339457,,,,
HSPT,66,2025-06-11,2025-08-15,494662,,,,
APXI,66,2022-01-31,2022-04-06,423323,,,,
RMCO,66,2023-04-10,2023-06-14,296578,,,,
EONR,65,2023-07-06,2023-09-08,1510620,,,,
GHIX,65,2024-03-27,2024-05-30,1030036,,,,
PANA,65,2021-09-02,2021-11-05,969908,,,,
APMI,65,2022-06-01,2022-08-04,647810,,,,
VHAQ,65,2023-04-10,2023-06-13,480536,,,,
GBBK,65,2025-02-04,2025-04-09,335199,,,,
VBOC,65,2022-06-01,2022-08-04,285375,,,,
TYGO,64,2022-07-14,2022-09-15,480289,,,,
ADRT,64,2023-02-02,2023-04-06,465726,,,,
GWII,64,2022-06-28,2022-08-30,365738,,,,
WINV,64,2024-08-01,2024-10-03,265408,,,,
UPH,63,2023-09-19,2023-11-20,1145037,,,,
NRAC,63,2023-04-25,2023-06-26,439848,,,,
HNNAZ,63,2024-10-15,2024-12-16,57962,,,,
ANGX,62,2022-08-11,2022-10-11,834076,,,,
SLAC,62,2023-08-31,2023-10-31,682141,,,,
CHEA,61,2022-08-15,2022-10-14,1219625,,,,
PRLH,61,2022-04-29,2022-06-28,875750,,,,
SANB,61,2022-08-18,2022-10-17,725338,,,,
IFIN,61,2023-03-06,2023-05-05,578002,,,,
ATVC,61,2023-12-08,2024-02-06,433469,,,,
FVN,61,2025-06-30,2025-08-29,385225,,,,
ROCL,61,2023-09-15,2023-11-14,360277,,,,
SMIH,60,2022-04-19,2022-06-17,546313,,,,
BYNO,60,2022-07-25,2022-09-22,361529,,,,
VMGA,59,2022-08-17,2022-10-14,881076,,,,
RIBB,59,2025-05-05,2025-07-02,378440,,,,
JAQC,59,2023-09-11,2023-11-08,266260,,,,
OXSQG,59,2023-12-05,2024-02-01,99719,,,,
FRBN,58,2022-09-21,2022-11-17,1046691,,,,
AIRJ,58,2023-11-09,2024-01-05,984792,,,,
AIEV,58,2024-03-21,2024-05-17,652133,,,,
GAQ,58,2024-08-29,2024-10-25,650370,,,,
CSLM,58,2024-11-07,2025-01-03,645638,,,,
BLUA,58,2024-01-31,2024-03-28,497446,,,,
APAC,58,2023-09-21,2023-11-17,490155,,,,
CPAQ,58,2022-07-05,2022-08-31,408419,,,,
GDNR,58,2022-09-06,2022-11-02,271474,,,,
MCAF,58,2022-09-15,2022-11-11,254465,,,,
VAQC,57,2023-11-01,2023-12-27,1324200,,,,
MPRA,57,2022-05-03,2022-06-28,668556,,,,
GODN,57,2024-02-22,2024-04-18,473894,,,,
AFAR,57,2023-10-11,2023-12-06,461061,,,,
PCSC,57,2025-07-08,2025-09-02,328379,,,,
VGAS,57,2022-09-09,2022-11-04,293904,,,,
TRAW,56,2015-03-19,2015-05-13,3433758,,,,
NSTC,56,2023-06-21,2023-08-15,1105079,,,,
GRDI,56,2023-07-27,2023-09-20,1040518,,,,
TRCA,56,2022-04-06,2022-05-31,549965,,,,
GLBZ,56,2016-03-02,2016-04-26,34090,,,,
XPAX,55,2022-06-24,2022-08-17,977934,,,,
LCW,55,2022-07-22,2022-09-14,751830,,,,
LHAA,55,2022-02-09,2022-04-04,713540,,,,
PNST,55,2023-08-17,2023-10-10,464227,,,,
AURC,54,2023-06-01,2023-07-24,2023719,,,,
BNOX,54,2022-04-25,2022-06-17,1868616,,,,
SIER,54,2022-04-21,2022-06-13,848110,,,,
EURK,54,2025-02-06,2025-03-31,532869,,,,
RDAC,54,2025-07-07,2025-08-29,337052,,,,
ONMD,53,2023-05-30,2023-07-21,2417777,,,,
MDAI,53,2023-02-17,2023-04-10,1518979,,,,
ATEK,53,2022-01-31,2022-03-24,635769,,,,
LVRA,53,2022-08-08,2022-09-29,539775,,,,
MARX,53,2024-08-12,2024-10-03,438692,,,,
TBMC,53,2025-03-03,2025-04-24,282982,,,,
SNMP,52,2023-06-07,2023-07-28,1110792,,,,
XFIN,52,2022-04-18,2022-06-08,745357,,,,
HPLT,52,2023-07-12,2023-09-01,581830,,,,
CETU,52,2023-06-05,2023-07-26,581508,,,,
GIAC,52,2022-09-21,2022-11-11,464519,,,,
LIBY,52,2022-03-02,2022-04-22,443937,,,,
BUJA,52,2024-10-09,2024-11-29,430293,,,,
HSPO,52,2025-07-07,2025-08-27,396262,,,,
ALSA,52,2024-05-13,2024-07-03,392962,,,,
FICV,52,2023-09-05,2023-10-26,284431,,,,
VHNA,51,2022-10-17,2022-12-06,1312192,,,,
EVK,51,2019-08-07,2019-09-26,1289826,,,,
RMGC,51,2024-02-28,2024-04-18,1135962,,,,
AONC,51,2021-05-06,2021-06-25,964477,,,,
ASCB,51,2023-09-11,2023-10-31,715337,,,,
MAYA,51,2025-06-10,2025-07-30,608865,,,,
ECDA,51,2023-08-10,2023-09-29,594182,,,,
HAIA,51,2024-09-05,2024-10-25,529377,,,,
ZLS,51,2024-01-18,2024-03-08,437769,,,,
DECA,51,2024-08-08,2024-09-27,326947,,,,
BAYA,51,2024-11-11,2024-12-31,322513,,,,
SAGA,51,2023-05-18,2023-07-07,184696,,,,
JCTC,51,2015-08-18,2015-10-07,38478,,,,
GTN.A,51,2017-10-10,2017-11-29,26096,,,,
SHLL,50,2019-06-21,2019-08-09,67720873,,,,
CDIO,50,2022-07-20,2022-09-07,3591563,,,,
RPLA,50,2019-10-15,2019-12-03,2108083,,,,
CIIG,50,2022-08-22,2022-10-10,1397946,,,,
CREC,50,2022-01-31,2022-03-21,985654,,,,
EACQ,50,2016-03-10,2016-04-28,783545,,,,
SCMA,50,2022-09-26,2022-11-14,700368,,,,
ZWRK,50,2022-05-13,2022-07-01,692283,,,,
FTPA,50,2021-05-10,2021-06-28,677802,,,,
YHGJ,50,2019-07-01,2019-08-19,634971,,,,
BGSX,50,2022-05-19,2022-07-07,566888,,,,
HLXB,50,2024-09-11,2024-10-30,564560,,,,
FRW,50,2021-05-07,2021-06-25,530423,,,,
SIEB,50,2016-01-06,2016-02-24,502366,,,,
MEAC,50,2022-07-13,2022-08-31,496713,,,,
BMAQ,50,2022-12-28,2023-02-15,441887,,,,
AOGO,50,2022-07-07,2022-08-25,370921,,,,
LBBB,50,2022-06-16,2022-08-04,317498,,,,
PME,50,2022-12-30,2023-02-17,260907,,,,
LGL,50,2016-06-01,2016-07-20,92912,,,,
SEPA,50,2023-11-07,2023-12-26,90015,,,,
CFSB,50,2024-02-15,2024-04-04,65825,,,,
WW,49,2025-05-16,2025-07-03,30833278,,,,
OSRH,49,2024-01-03,2024-02-20,3196201,,,,
BURU,49,2024-06-14,2024-08-01,2555665,,,,
AMPE,49,2022-10-04,2022-11-21,1687976,,,,
NSTD,49,2023-06-30,2023-08-17,1061347,,,,
SHCA,49,2022-01-11,2022-02-28,701337,,,,
RCFA,49,2023-06-02,2023-07-20,649788,,,,
BOCN,49,2024-05-24,2024-07-11,620126,,,,
GRAM,49,2018-05-18,2018-07-05,605284,,,,
FATBB,49,2023-03-15,2023-05-02,587046,,,,
LAX,49,2022-08-23,2022-10-10,521007,,,,
YHNA,49,2025-06-04,2025-07-22,494321,,,,
MSSA,49,2022-06-16,2022-08-03,226149,,,,
TCI,49,2016-10-05,2016-11-22,124708,,,,
PBSK,49,2017-03-28,2017-05-15,104755,,,,
INBKZ,49,2022-10-26,2022-12-13,71727,,,,
HCCO,48,2020-01-30,2020-03-17,3688259,,,,
PBLA,48,2022-03-31,2022-05-17,1520843,,,,
ITMR,48,2019-07-05,2019-08-21,1141190,,,,
NTWO,48,2025-06-26,2025-08-12,1116625,,,,
SUAC,48,2022-03-11,2022-04-27,1033137,,,,
MIII,48,2017-01-20,2017-03-08,677799,,,,
JVSA,48,2025-03-20,2025-05-06,470873,,,,
ARIZ,48,2022-10-27,2022-12-13,357391,,,,
JATT,48,2022-05-05,2022-06-21,290934,,,,
OPHC,48,2016-06-17,2016-08-03,156799,,,,
WILC,48,2016-02-19,2016-04-06,75831,,,,
IROQ,48,2021-07-22,2021-09-07,70859,,,,
ACAM,47,2019-05-10,2019-06-25,5320649,,,,
TRNR,47,2023-12-04,2024-01-19,4829632,,,,
XAGE,47,2022-04-25,2022-06-10,1830390,,,,
EPIX,47,2016-08-01,2016-09-16,1506132,,,,
OMAD,47,2018-08-13,2018-09-28,1469391,,,,
DHCA,47,2023-05-01,2023-06-16,746099,,,,
APN,47,2022-05-06,2022-06-21,588424,,,,
SBC,47,2023-05-12,2023-06-27,407167,,,,
