ticker,max_duration_days,max_duration_start_date,max_duration_end_date,avg_turnover,notes,source,cut_off_date,counts
HCAC,297,2015-02-25,2015-12-18,4371864,,,,
DVLT,295,2018-07-27,2019-05-17,9880877,,,,
LLEX,292,2016-05-26,2017-03-13,816604,,,,
CMN,285,2016-02-22,2016-12-02,20705848,,,,
SBFGP,283,2017-02-27,2017-12-06,48978,,,,
CTAC,280,2020-03-06,2020-12-10,2280579,,,,
BEAT,275,2021-02-09,2021-11-10,9918129,,,,
ECAC,273,2016-04-12,2017-01-09,46504,,,,
VTIQ,272,2020-06-04,2021-03-02,9036415,,,,
SD,271,2016-01-07,2016-10-03,6312521,,,,
SG,268,2021-02-23,2021-11-17,33642109,,,,
PIXY,268,2018-07-18,2019-04-11,5303098,,,,
MPO,261,2016-02-04,2016-10-21,1517114,,,,
DXLG,260,2020-12-22,2021-09-07,1157342,,,,
AMOD,258,2021-02-10,2021-10-25,3609648,,,,
SENEB,258,2017-08-03,2018-04-17,49267,,,,
CMLS,252,2017-11-22,2018-07-31,833673,,,,
RILYL,250,2019-12-30,2020-09-04,165368,,,,
MAYS,248,2024-04-03,2024-12-06,58059,,,,
CNSP,247,2020-04-14,2020-12-16,2236457,,,,
DBGI,245,2024-12-18,2025-08-19,4948171,,,,
LNZA,243,2021-02-05,2021-10-05,1914962,,,,
MUDS,242,2020-06-01,2021-01-28,6206592,,,,
CTRA,240,2021-02-04,2021-10-01,131232839,,,,
VTAK,240,2019-08-19,2020-04-14,3467525,,,,
LBTYB,238,2022-08-04,2023-03-29,50850,,,,
SE,235,2017-02-27,2017-10-19,391016636,,,,
SONG,234,2019-09-11,2020-05-01,,,,,
JSYN,234,2018-10-15,2019-06-05,93114,,,,
SWSS,233,2023-07-06,2024-02-23,352236,,,,
CLRC,232,2024-05-31,2025-01-17,234759,,,,
DISCB,231,2017-03-09,2017-10-25,485443,,,,
HCCH,228,2018-12-04,2019-07-19,1390606,,,,
EXE,226,2020-06-29,2021-02-09,176775768,,,,
LHC,226,2020-07-16,2021-02-26,1302884,,,,
OACQ,226,2016-12-12,2017-07-25,99983,,,,
BGMS,224,2015-04-16,2015-11-25,1859063,,,,
GTX,222,2020-09-21,2021-04-30,10532873,,,,
CDT,220,2023-01-23,2023-08-30,2811348,,,,
GLF,219,2017-04-11,2017-11-15,2911634,,,,
LCA,218,2018-11-16,2019-06-21,6447428,,,,
ACON,218,2022-09-16,2023-04-21,3367890,,,,
AXAR,214,2016-11-01,2017-06-02,90531,,,,
STRZB,214,2015-01-05,2015-08-06,33209,,,,
QVCB,211,2016-01-06,2016-08-03,25777,,,,
XOG,210,2020-06-25,2021-01-20,16928266,,,,
IPDN,210,2019-11-27,2020-06-23,1687644,,,,
HVT.A,210,2018-06-01,2018-12-27,13497,,,,
BBX,209,2016-12-16,2017-07-12,1133692,,,,
FMCI,204,2018-02-23,2018-09-14,8479686,,,,
JXSB,203,2017-02-08,2017-08-29,63687,,,,
JAMF,201,2020-01-03,2020-07-21,15338899,,,,
FTEO,199,2017-06-07,2017-12-22,18563,,,,
QETA,197,2025-04-11,2025-10-24,355545,,,,
CLRB,196,2015-01-02,2015-07-16,1187199,,,,
HRMN,193,2015-06-05,2015-12-14,612592,,,,
GSAH,192,2020-02-10,2020-08-19,9923833,,,,
BRQS,191,2019-09-03,2020-03-11,3142949,,,,
PTN,188,2025-05-08,2025-11-11,1168534,,,,
VSEE,187,2023-04-10,2023-10-13,2399926,,,,
RFAC,184,2023-10-23,2024-04-23,406672,,,,
OFED,179,2015-07-20,2016-01-14,61806,,,,
WINS,177,2017-06-08,2017-12-01,596203,,,,
STZ.B,177,2021-07-08,2021-12-31,397804,,,,
CLBR,175,2023-07-20,2024-01-10,3554121,,,,
DISA,175,2023-03-30,2023-09-20,623269,,,,
LIVK,175,2020-01-22,2020-07-14,364232,,,,
MNTN,174,2024-11-29,2025-05-21,4165025,,,,
GTAC,173,2024-02-26,2024-08-16,596970,,,,
KBLM,173,2019-12-16,2020-06-05,377852,,,,
OTEC,173,2023-06-12,2023-12-01,261388,,,,
GPOR,172,2020-11-27,2021-05-17,36356610,,,,
SIM,171,2024-01-03,2024-06-21,56271,,,,
IIVI,168,2022-09-08,2023-02-22,44449759,,,,
BAK,163,2019-05-14,2019-10-23,6520848,,,,
DPHC,162,2019-06-25,2019-12-03,26392529,,,,
KACL,162,2023-01-05,2023-06-15,254992,,,,
CLAC,161,2015-07-09,2015-12-16,2397081,,,,
GATE,161,2024-05-16,2024-10-23,601150,,,,
GDST,161,2024-08-14,2025-01-21,346885,,,,
TGVC,161,2023-05-04,2023-10-11,331452,,,,
HMG,160,2017-04-21,2017-09-27,42488,,,,
ALLR,157,2021-12-21,2022-05-26,2532437,,,,
LATG,157,2024-04-22,2024-09-25,494681,,,,
NPAB,157,2023-06-28,2023-12-01,470558,,,,
HDRA,157,2016-02-02,2016-07-07,254075,,,,
EJH,156,2021-08-16,2022-01-18,3105375,,,,
XYLO,155,2015-09-23,2016-02-24,1254579,,,,
NCAC,155,2023-01-20,2023-06-23,626345,,,,
BRPA,153,2020-01-22,2020-06-22,1201257,,,,
NDRA,152,2017-06-30,2017-11-28,1302634,,,,
CERO,150,2023-07-19,2023-12-15,4649553,,,,
PNBK,150,2017-01-17,2017-06-15,206975,,,,
AXIA,148,2016-05-18,2016-10-12,6435595,,,,
AXIAp,148,2016-05-18,2016-10-12,295361,,,,
BV,147,2018-02-01,2018-06-27,4818098,,,,
BLEU,147,2023-08-24,2024-01-17,784231,,,,
AGM.A,147,2021-09-22,2022-02-15,77904,,,,
NEBU,146,2018-10-24,2019-03-18,3104357,,,,
GMFI,145,2023-06-26,2023-11-17,402989,,,,
PPYA,144,2024-08-05,2024-12-26,542741,,,,
LOAC,143,2019-08-21,2020-01-10,647277,,,,
AFJK,143,2025-05-21,2025-10-10,463511,,,,
OSPR,142,2017-09-11,2018-01-30,3110534,,,,
MYSZ,142,2016-09-08,2017-01-27,1377974,,,,
HORI,142,2022-10-17,2023-03-07,1214457,,,,
PAFO,142,2022-04-14,2022-09-02,951741,,,,
VSAC,142,2024-05-15,2024-10-03,300651,,,,
CLAY,142,2023-02-07,2023-06-28,184572,,,,
TAL,141,2016-07-13,2016-11-30,105901797,,,,
KCAC,141,2020-11-27,2021-04-16,26908646,,,,
KEG,141,2016-07-28,2016-12-15,1983374,,,,
DNJR,141,2019-11-05,2020-03-24,322683,,,,
AVGR,140,2015-03-25,2015-08-11,2602081,,,,
GPIA,140,2016-06-30,2016-11-16,668471,,,,
ADXN,139,2020-01-30,2020-06-16,638962,,,,
TOTA,139,2019-05-15,2019-09-30,405182,,,,
FXCO,139,2023-02-22,2023-07-10,294291,,,,
QOMO,139,2024-02-22,2024-07-09,183770,,,,
SNCR,138,2018-05-14,2018-09-28,6935740,,,,
FPAC,138,2020-08-31,2021-01-15,4760123,,,,
FLD,138,2024-08-02,2024-12-17,1696743,,,,
CVU,138,2022-05-20,2022-10-04,428821,,,,
DRYS,137,2015-03-23,2015-08-06,15880273,,,,
SPRB,137,2025-04-29,2025-09-12,5488563,,,,
PCSC,137,2025-07-08,2025-11-21,298489,,,,
STI,136,2022-05-04,2022-09-16,6773067,,,,
IVCA,135,2024-08-26,2025-01-07,939853,,,,
SISI,135,2017-06-13,2017-10-25,939179,,,,
CLOE,135,2023-01-17,2023-05-31,189781,,,,
SHIP,133,2015-08-28,2016-01-07,2934263,,,,
AGBA,133,2019-08-01,2019-12-11,2319132,,,,
STEX,133,2024-06-12,2024-10-22,1652827,,,,
PNRL,132,2019-02-21,2019-07-02,257998,,,,
RILYG,131,2021-07-26,2021-12-03,465979,,,,
RILYZ,129,2021-03-31,2021-08-06,781135,,,,
DXF,129,2024-09-17,2025-01-23,607765,,,,
GENQ,129,2022-07-06,2022-11-11,542306,,,,
YOTA,129,2024-09-17,2025-01-23,289151,,,,
HHGC,126,2021-12-10,2022-04-14,283593,,,,
BNIX,125,2024-09-06,2025-01-08,247045,,,,
OXLCO,125,2021-04-15,2021-08-17,168293,,,,
GCTK,123,2022-08-22,2022-12-22,2765509,,,,
JWAC,122,2022-02-16,2022-06-17,1216751,,,,
CAMP,121,2024-06-12,2024-10-10,4063141,,,,
DFBH,121,2019-01-24,2019-05-24,1603989,,,,
NOVV,121,2023-01-24,2023-05-24,194514,,,,
IGC,120,2018-10-29,2019-02-25,3918262,,,,
PLAO,120,2024-10-17,2025-02-13,1236758,,,,
GTYH,120,2016-12-29,2017-04-27,1195116,,,,
IMRN,119,2021-05-27,2021-09-22,2040692,,,,
MTRY,119,2023-07-07,2023-11-02,376614,,,,
ELLO,119,2018-01-26,2018-05-24,71369,,,,
XBP,118,2023-04-14,2023-08-09,1042581,,,,
ARWA,117,2016-05-06,2016-08-30,304159,,,,
GMHI,115,2019-07-10,2019-11-01,8530354,,,,
AQU,115,2024-04-29,2024-08-21,179873,,,,
DEVS,114,2024-04-25,2024-08-16,2191609,,,,
RWGE,114,2018-08-30,2018-12-21,950684,,,,
SHUA,114,2022-06-22,2022-10-13,389762,,,,
ESAC,112,2023-06-02,2023-09-21,716987,,,,
DTSQ,112,2025-05-14,2025-09-02,547670,,,,
ACAQ,112,2023-01-25,2023-05-16,506430,,,,
FHLT,112,2023-02-14,2023-06-05,314490,,,,
OBAS,112,2015-08-21,2015-12-10,28627,,,,
LKCO,111,2018-09-20,2019-01-08,3099462,,,,
PKD,111,2018-12-13,2019-04-02,1229422,,,,
ATMV,111,2025-04-24,2025-08-12,567012,,,,
MACA,111,2023-11-02,2024-02-20,206536,,,,
HFBL,111,2020-11-18,2021-03-08,54918,,,,
GYRO,109,2020-04-13,2020-07-30,57494,,,,
WORX,108,2020-04-22,2020-08-07,3649528,,,,
AMHC,108,2020-03-31,2020-07-16,1138393,,,,
AAMC,108,2021-12-01,2022-03-18,567835,,,,
ESHA,108,2024-12-30,2025-04-16,520414,,,,
CCTS,108,2023-05-10,2023-08-25,473602,,,,
SWAG,108,2022-08-30,2022-12-15,292987,,,,
PNRG,107,2018-05-30,2018-09-13,1470623,,,,
ARYD,107,2023-05-01,2023-08-15,741606,,,,
TGAA,107,2024-08-15,2024-11-29,665156,,,,
CHAR,107,2025-08-12,2025-11-26,602014,,,,
HWEL,107,2022-03-15,2022-06-29,596126,,,,
BWAQ,107,2022-05-12,2022-08-26,536428,,,,
STLR,107,2016-12-19,2017-04-04,229177,,,,
IOR,107,2024-03-25,2024-07-09,30411,,,,
PFXNZ,105,2022-07-15,2022-10-27,61855,,,,
CRC,104,2020-07-16,2020-10-27,35046618,,,,
RETO,103,2019-09-13,2019-12-24,1209957,,,,
BLVD,103,2015-08-03,2015-11-13,1114975,,,,
IHT,103,2015-05-22,2015-09-01,990747,,,,
VBFC,103,2016-12-30,2017-04-11,81072,,,,
DPCS,102,2024-06-24,2024-10-03,893462,,,,
VMCA,101,2023-10-25,2024-02-02,610377,,,,
FEXD,101,2024-05-07,2024-08-15,414512,,,,
TCOA,100,2022-04-18,2022-07-26,667068,,,,
WBUY,99,2025-01-29,2025-05-07,4149153,,,,
QPAC,99,2015-07-21,2015-10-27,805441,,,,
ALAC,99,2019-07-15,2019-10-21,557530,,,,
CRZN,99,2022-09-29,2023-01-05,521609,,,,
TLGY,99,2024-07-16,2024-10-22,520548,,,,
JMAC,99,2022-07-14,2022-10-20,513425,,,,
IGTA,99,2022-03-09,2022-06-15,485900,,,,
ATAQ,99,2023-05-30,2023-09-05,475886,,,,
FORL,99,2025-07-09,2025-10-15,210458,,,,
ENCP,98,2023-08-22,2023-11-27,374411,,,,
CNFRL,98,2022-10-13,2023-01-18,50782,,,,
KPFS,98,2019-02-22,2019-05-30,5273,,,,
HWH,97,2022-04-07,2022-07-12,3807240,,,,
LGST,97,2023-07-26,2023-10-30,766290,,,,
OCAX,97,2023-03-29,2023-07-03,491438,,,,
RCAC,96,2022-04-18,2022-07-22,408258,,,,
TPGH,95,2017-08-25,2017-11-27,2184165,,,,
SFBC,95,2022-11-11,2023-02-13,117450,,,,
INTG,95,2023-01-31,2023-05-05,98395,,,,
OPTX,94,2023-06-21,2023-09-22,1361316,,,,
ACAH,94,2023-06-13,2023-09-14,766477,,,,
PEPL,94,2023-10-09,2024-01-10,349532,,,,
PRTC,94,2023-05-31,2023-09-01,97281,,,,
ICCH,94,2021-09-14,2021-12-16,72779,,,,
HUNT,93,2017-09-05,2017-12-06,751856,,,,
ATMC,93,2025-03-17,2025-06-17,300603,,,,
SINT,92,2019-02-21,2019-05-23,3079853,,,,
WHLM,92,2017-03-27,2017-06-26,1133829,,,,
PEGR,92,2022-06-14,2022-09-13,1039617,,,,
LIVB,92,2023-05-19,2023-08-18,403749,,,,
ALCY,92,2025-05-22,2025-08-21,390592,,,,
ALCE,91,2023-08-15,2023-11-13,727061,,,,
